CUST_ID,BALANCE,PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT
C12397,1100.941072,117.32,0,5573.767921,7,3,1500
C15889,79.470417,601.84,601.84,0,0,7,7500
C16861,1690.244293,0,0,272.677146,1,0,3000
C14422,1281.936062,43,0,0,0,1,1500
C12659,36.868847,360,360,0,0,6,3000
C18887,2069.451252,0,0,2849.085564,14,0,3000
C11421,65.253182,1027.41,0,0,0,7,6000
C14103,162.850565,1326.72,303.45,0,0,26,6000
C10583,181.463092,133.39,0,219.143859,2,3,2500
C19056,873.090183,60,0,2963.80144,10,1,2000
C11334,1790.707374,1368,0,2126.381193,7,2,3500
C11211,1114.122532,348.47,124.16,99.20189,1,9,1200
C14109,488.340514,4908.93,2618.57,0,0,108,7500
C13889,1509.177493,0,0,1281.15107,14,0,5000
C18860,1528.122917,0,0,2426.656054,19,0,3500
C13044,4751.340645,309.86,309.86,0,0,5,8600
C11444,27.164388,554.35,89.72,0,0,16,3000
C17673,82.568778,471.64,471.64,0,0,23,1200
C17620,21.881528,89.04,0,0,0,1,2500
C15193,143.553904,1778.76,1051.88,0,0,53,7000
C10008,1823.652743,436.2,436.2,0,0,12,2300
C13457,2948.881234,840.48,330.48,411.828101,7,15,3000
C14761,1411.914825,0,0,127.321884,2,0,1500
C12637,1026.201421,0,0,244.88819,2,0,1200
C10749,1855.212121,32.22,0,37.743145,1,1,2000
C14016,5797.6687,0,0,4639.195255,12,0,6000
C11702,1698.369764,0,0,2253.381516,2,0,4500
C13460,3862.125712,812.78,135.98,3217.292489,13,14,6000
C12205,1571.382204,1849.26,232.5,0,0,19,7000
C13653,5555.173827,6613.09,3018.64,0,0,119,9500
C15734,71.186651,1500,1500,0,0,12,3000
C13036,1588.447753,825.96,0,913.94708,4,4,4000
C14449,852.001697,372.36,372.36,1655.625508,3,5,4000
C10263,5335.302925,0,0,468.958688,2,0,6000
C11243,653.004882,2035.29,775.71,0,0,29,9500
C17070,82.784219,431.28,0,0,0,1,3000
C12122,4196.43487,90.01,0,1804.826917,3,3,8000
C10966,3122.171879,974.3,262,189.408446,5,21,3000
C13602,387.646975,2900.84,2000.24,0,0,54,7500
C16974,2347.486095,0,0,1957.749127,9,0,2950
C11832,9502.256762,2776.09,1352.04,0,0,36,10500
C10770,1560.533094,749.57,539.8,4096.907903,19,7,6000
C17196,89.567592,990.73,0,0,0,9,4000
C13967,3876.778302,0,0,4269.018258,11,0,7500
C11722,628.384411,887.3,47.3,279.557918,1,6,2000
C12475,34.387537,153.18,91.28,0,0,11,2500
C11436,14.434808,237.48,237.48,0,0,12,2500
C17901,987.102704,66.5,0,770.310099,1,1,2500
C16104,2525.683344,0,0,285.193204,5,0,7000
C18066,19.01482,604.26,604.26,0,0,10,4000
C11103,4069.525304,259.84,48.33,1731.958401,12,4,7500
C14257,494.045664,583.2,342.76,0,0,25,2000
C14067,3177.232656,5877.73,447.05,0,0,100,6000
C17371,88.577811,356.15,0,0,0,27,1600
C17521,528.324583,0,0,2101.089889,7,0,3000
C15017,169.343874,1553.8,0,0,0,8,16500
C11199,76.059828,927.1,0,0,0,12,1500
C12913,1659.414215,324,0,2039.735576,7,3,4000
C14295,1221.439496,1045.76,86.54,1478.541555,9,21,2500
C13656,6930.14958,0,0,1710.197063,2,0,7500
C14458,1193.682005,445.18,0,0,0,11,1200
C15742,2236.176309,1114.43,135,0,0,21,9000
C12460,7985.621826,123.24,0,7949.596045,32,2,14500
C14715,39.718404,525.17,0,0,0,4,8500
C16405,7.456966,4.8,4.8,0,0,1,2200
C16186,1070.59508,0,0,54.379041,3,0,1200
C18487,2837.962185,898.2,0,958.26211,5,10,5000
C18745,799.00867,192.96,192.96,559.392054,5,12,2000
C11327,1469.212816,220.69,156.6,0,0,6,2000
C13764,1593.708884,1676.78,1643.1,1370.18527,2,38,1800
C11216,364.140613,1462.38,0,0,0,5,2500
C14215,822.755885,531.14,171.9,0,0,10,3000
C13129,364.516232,0,0,720.251306,2,0,6500
C16217,6495.510054,716.76,716.76,6771.644515,5,12,10000
C13568,20.661831,298.8,298.8,0,0,5,5000
C11359,2249.731727,2598.54,657.46,0,0,31,9000
C17535,2971.600871,6513.38,1818.7,0,0,41,5000
C15291,1268.250294,167,0,1141.77504,5,1,1800
C18836,997.496745,1629.83,0,276.760257,5,21,1200
C13745,739.124439,380.8,57.8,983.2321,2,7,4500
C13175,4413.461158,55.12,0,0,0,1,5000
C12844,300.140362,2366.36,1811.36,0,0,23,4000
C14670,7.106669,27.98,0,0,0,1,2500
C17549,399.156352,2870.76,1976.27,0,0,109,2500
C13190,2089.451704,1256.49,376.88,1381.853089,2,32,2500
C15043,6758.987905,198.96,172.36,7019.083751,13,7,11000
C10280,2554.525229,6186.77,87.69,1898.690655,1,38,10950
C18242,130.484418,1428.97,0,0,0,3,7000
C17738,2929.582949,0,0,1319.276782,11,0,3000
C12630,1061.394006,0,0,320.869981,8,0,8500
C10970,1168.040482,1113.1,311.91,0,0,26,6500
C12308,105.642966,916.46,388.68,0,0,12,10500
C12054,1513.075264,15704.04,3085.18,0,0,185,3000
C14895,38.795708,229.48,0,0,0,3,3050
C16328,3215.080388,410.24,113.72,0,0,12,9500
C16307,156.348232,2214.87,0,376.456319,2,3,14500
C15488,1395.907515,962.12,0,0,0,20,1600
C18596,391.07025,2616,2616,0,0,12,2000
C13839,1565.025253,3035.98,2250.38,7003.112284,36,94,2500
C14520,1403.574083,1831.57,1133.63,1909.684135,1,61,8000
C18126,56.215217,402.13,402.13,0,0,40,1000
C12107,1035.853615,69,0,1147.361897,16,1,1200
C15666,309.491763,0,0,3497.519958,6,0,4000
C19055,195.61275,0,0,389.515222,5,0,500
C16687,1337.57386,0,0,36.473828,1,0,3000
C17991,1746.714825,0,0,113.673261,2,0,1800
C12273,2882.954391,3591.81,1139.25,554.07167,2,74,10450
C13777,78.402006,233.34,233.34,0,0,10,3100
C15400,133.957441,128.5,128.5,357.492328,2,1,1500
C15081,1176.088299,0,0,1106.360593,4,0,1200
C14200,2683.935652,0,0,2780.106659,5,0,4500
C18674,306.688361,0,0,1426.678724,5,0,2500
C13152,5873.201628,146.68,104.02,2206.510074,7,5,8000
C17867,717.764625,3358.25,0,0,0,127,4000
C16100,4611.724712,0,0,2686.074313,2,0,6000
C12298,40.343354,318.79,0,0,0,2,6000
C11297,75.039332,588.05,0,0,0,5,9000
C13655,6744.845686,4.44,4.44,19862.87844,11,3,16500
C13726,6851.036206,669.93,466.74,4588.030733,14,11,9500
C10816,835.007085,90.39,0,1160.459619,1,1,1500
C11614,3630.771485,0,0,10519.48252,15,0,9000
C14812,626.213492,0,0,3393.427055,11,0,1200
C12564,4319.531807,0,0,9085.908764,19,0,7500
C13762,177.592802,1471.55,0,0,0,25,25000
C17111,0.737154,427.5,427.5,0,0,23,1500
C14143,136.839366,1133.54,0,0,0,4,16500
C12751,1127.139413,185,45,737.622804,2,4,6100
C16735,25.882538,430.02,430,0,0,19,7000
C18951,113.563652,729.6,729.6,0,0,12,1000
C16865,1654.795346,2530.48,1311.26,881.045538,4,48,2500
C17886,264.103675,3568.21,1231.8,0,0,60,1500
C15733,884.16375,823.52,823.52,0,0,56,1500
C18109,77.321718,278.44,278.44,0,0,18,2500
C19086,803.288674,0,0,2560.117599,9,0,3000
C16225,1764.972148,95.44,95.44,0,0,5,5000
C11292,1222.083116,1492.21,769.3,0,0,27,7000
C14516,1862.566976,1847.57,1005.98,0,0,35,3350
C14010,3822.559709,1000,0,0,0,1,5000
C17646,2320.107011,2118.42,0,3285.570621,14,14,5000
C10774,1261.488342,890.2,0,0,0,9,3000
C15845,153.377124,2048.5,1201.71,0,0,51,7000
C10093,4037.305658,45,0,104.238064,1,1,4500
C10151,3057.400553,1025,0,0,0,2,7500
C11377,7656.390367,0,0,2678.769331,12,0,8000
C12216,1441.679257,0,0,914.794214,1,0,6500
C11514,1995.089853,8335.69,934.84,0,0,69,7000
C11761,2431.193194,0,0,195.932353,1,0,4000
C12436,788.257316,9113.78,2975.21,0,0,128,12000
C13816,6943.433775,3513.64,0,0,0,7,8000
C18067,1337.287314,1662.41,0,0,0,10,1500
C15862,1450.649137,0,0,1782.155586,4,0,4000
C18348,1430.681807,1916.04,1259.44,181.347255,2,38,1800
C11249,247.063258,1448.74,1448.74,0,0,23,5000
C13419,302.768674,3028.94,995,0,0,22,2400
C15615,957.010021,604.8,604.8,901.754709,3,12,1000
C14681,2124.826298,967.61,570,581.6512,3,12,5000
C11118,8.640998,0,0,2777.200448,1,0,6000
C10123,54.933231,495,495,0,0,2,7000
C10529,2643.343414,26402.39,4145,0,0,114,16500
C18420,2692.11891,594.7,0,346.333741,4,12,3500
C16670,4021.881912,300.1,300.1,955.742173,1,9,6000
C12562,5354.109275,0,0,2660.070252,7,0,7000
C18948,64.227433,419.4,419.4,0,0,9,1000
C10588,1095.379426,0,0,282.895246,3,0,1200
C18232,449.733124,788.58,788.58,0,0,21,3000
C12026,760.925748,360,360,3180.893742,4,9,5000
C16123,1213.551338,941.39,80.72,49.747079,1,18,7000
C17511,13.440318,0,0,138.410148,1,0,1500
C16097,170.019011,266.6,0,1199.729121,3,1,2500
C15610,810.089776,1428.89,0,0,0,11,2500
C13833,22.682781,161.5,0,0,0,1,2000
C18124,69.190177,431.52,431.52,0,0,12,2700
C11565,588.795215,4116,4116,0,0,12,21500
C18801,2199.65234,0,0,2476.783665,8,0,2500
C12147,1998.339616,2238,1068,0,0,22,6500
C16153,208.039434,684.2,165.33,0,0,26,4000
C17382,1520.501423,1405.22,576.82,0,0,26,10500
C13110,112.514659,459.51,184.86,0,0,13,1200
C10333,6719.376505,0,0,2443.262416,7,0,7500
C14400,2004.816462,20747.34,7740.27,0,0,95,10000
C17832,275.240429,0,0,610.08928,5,0,700
C10537,1191.584153,4238.79,2018.4,0,0,33,10500
C17417,6262.211034,1456.07,1380,5425.912807,16,8,10500
C14604,82.029477,1126.32,545.88,0,0,49,9000
C16061,1196.364009,0,0,1376.669494,7,0,1500
C17413,1767.719314,0,0,272.520678,3,0,2000
C17270,366.111566,3482.9,2132.1,348.857163,2,39,7500
C15271,1273.731635,0,0,534.228453,3,0,1500
C12138,3250.621234,247.31,247.31,823.112588,6,7,4000
C11859,2377.759245,0,0,943.90775,6,0,6500
C15357,1207.768239,0,0,944.367262,8,0,1200
C16384,1142.909141,0,0,2264.495887,17,0,2500
C11401,920.872172,296.64,166.64,944.088231,3,5,1200
C15144,1180.178744,233.35,0,0,0,6,14000
C18025,1847.085007,1573.35,981.35,0,0,40,6000
C18701,839.081567,0,0,609.463327,6,0,1800
C12364,1777.056105,1083.12,1083.12,0,0,24,4000
C11283,1547.154381,0,0,39.346045,2,0,1700
C13071,891.111576,698.99,698.99,1208.994937,13,6,1500
C16841,553.253321,0,0,975.662025,4,0,1800
C18930,263.63692,1350.7,290,0,0,17,1500
C16096,116.418751,1176,1176,0,0,12,2150
C17755,542.979227,1134.96,1134.96,2370.439178,15,12,1000
C14960,5830.700298,4079.01,3572.01,0,0,72,11500
C12947,54.952957,470.12,470.12,0,0,4,10000
C18707,67.251991,0,0,90.56246,3,0,500
C18059,130.890211,131.26,131.26,0,0,4,3000
C13383,2806.343181,0,0,274.463254,3,0,3000
C10513,10249.71178,0,0,2438.356719,9,0,18000
C12621,1822.259235,0,0,1672.653551,4,0,2500
C13629,6046.821082,502.48,0,3143.218022,2,3,9000
C19037,97.707192,634.55,634.55,0,0,10,1000
C11826,926.341558,45.65,0,0,0,1,1000
C18857,70.954998,616.67,616.67,0,0,7,500
C15353,77.523872,325,325,117.402685,2,10,6500
C15646,765.966137,1488.82,86.47,0,0,24,4000
C16885,823.003516,432,432,0,0,12,1500
C13597,2280.447419,1681.78,462.78,0,0,21,7500
C15085,164.583178,1489.28,570.8,0,0,8,3500
C14101,5523.175617,0,0,4104.980885,5,0,6500
C11467,0.001214,0,0,39.610415,1,0,7500
C10819,2435.823938,749.3,355.8,0,0,8,8500
C11957,1672.969871,0,0,74.812657,1,0,2100
C15605,2514.170127,87.28,0,1863.759832,6,2,5000
C17518,71.431411,2068.41,2068.41,0,0,27,2500
C15008,4361.964176,0,0,288.451529,2,0,4500
C11053,640.595851,2496.57,659.01,0,0,14,3000
C11085,4862.641586,1302.37,0,1279.629012,3,9,6000
C17170,48.578408,673.1,26.49,0,0,18,6000
C17462,564.02688,1007.4,65.58,0,0,11,2000
C16497,734.77748,33.37,33.37,921.54819,1,1,1500
C14620,56.149055,493.32,343.39,0,0,14,5000
C13180,791.117673,854.2,0,0,0,3,7350
C15629,1625.118547,2908.35,1951.52,1029.560342,4,40,3500
C13238,1876.290248,63.62,0,0,0,1,2000
C17591,677.077167,119.19,119.19,181.735735,1,5,700
C13410,1256.034535,545.74,435.74,381.203187,2,9,7000
C18917,1314.832328,0,0,1430.220725,4,0,1500
C14021,961.369596,0,0,1124.284462,2,0,1200
C16149,719.592571,124.13,78.48,0,0,3,3000
C13302,65.207898,350,0,0,0,1,8000
C16154,330.673765,33.44,33.44,0,0,4,2400
C19048,385.462843,427.1,377.1,809.585272,6,25,1000
C13351,4788.283283,0,0,437.808586,2,0,5000
C13791,5629.224986,3382.96,0,553.500582,3,42,10500
C11797,555.131027,1586.45,474.85,0,0,51,5500
C14140,379.542951,0,0,925.399531,1,0,1500
C18776,547.287057,0,0,243.336548,2,0,2000
C10454,969.294446,0,0,340.249539,1,0,1200
C14923,17.141376,182.1,148.5,113.918826,1,4,6000
C15908,1267.621753,107.05,42.5,0,0,5,4000
C10917,9255.143419,5153.28,1801,0,0,105,11500
C10761,2752.146656,1648.53,1029.98,2146.51325,4,46,6500
C11605,21.664126,271.86,241.86,0,0,12,4000
C11201,269.309231,280.25,280.25,0,0,19,2500
C15766,9166.016365,0,0,2911.322626,8,0,10500
C18809,1231.092907,250,0,782.610563,5,1,1800
C13066,78.44322,1367.73,1367.73,0,0,58,6000
C12805,1527.905897,0,0,2918.216386,4,0,6500
C15642,16304.88925,1770.57,1770.57,7424.094447,13,9,19000
C17878,1923.696463,527.6,527.6,5326.343132,48,25,5000
C17127,65.45872,570.96,570.96,0,0,6,1000
C11940,69.352136,636.15,636.15,0,0,16,10000
C10109,862.07238,0,0,920.309805,1,0,4000
C15575,6958.239974,0,0,3482.699506,2,0,7500
C18586,142.637508,1650,1650,0,0,11,1000
C18219,413.091214,0,0,1117.162764,4,0,1200
C16390,857.767403,639.56,639.56,0,0,4,2200
C18276,8.80954,114,114,0,0,8,4000
C11494,556.359504,1111.12,1111.12,0,0,10,2500
C10240,279.608696,3034.92,3034.92,0,0,12,2900
C13646,444.021111,0,0,1101.192457,3,0,1000
C17082,2135.744209,1342.31,1100.56,1993.285912,8,23,8000
C12390,74.34204,724.52,524.52,0,0,13,4000
C16553,4117.751094,159.07,0,2940.082863,4,2,8000
C14265,655.712971,264.35,61.55,0,0,6,1500
C16713,1222.050009,0,0,1143.669546,5,0,2500
C14224,968.504914,257.71,212.06,0,0,4,1000
C11178,2847.608209,1399.05,1016,0,0,10,7500
C16116,757.470201,118.7,118.7,1520.641388,4,12,2000
C12074,996.619846,581.8,61.8,0,0,3,8500
C17231,3120.738718,0,0,6125.592369,12,0,4800
C11146,8115.039014,383.42,383.42,0,0,7,11000
C17215,1274.544399,0,0,1269.320949,5,0,2500
C12795,511.569448,2938.32,1252.97,0,0,69,7500
C17612,980.922091,0,0,644.770362,5,0,1200
C12623,93.964086,815.34,666.3,0,0,14,2500
C14383,1733.972492,147.96,147.96,0,0,8,1900
C11502,916.63778,4627.8,1885.41,0,0,89,16500
C14041,5795.166009,0,0,7363.303617,3,0,12500
C16802,1594.72697,0,0,266.997482,1,0,3000
C13006,1182.045732,130,60,0,0,5,1200
C12873,6043.926807,0,0,538.044813,17,0,6500
C15075,2068.865586,0,0,1285.834671,2,0,2500
C16611,453.347636,4164.8,4005.4,0,0,51,5500
C10482,805.131074,795.54,628.14,418.482499,1,20,1700
C10618,2739.836747,0,0,2970.288928,5,0,3000
C13941,1771.43578,1176,1176,0,0,12,1700
C18527,2128.836017,0,0,2474.142891,1,0,5000
C14124,421.796337,2748.74,1125,0,0,48,4500
C15571,1030.914048,1083.44,0,1342.617687,5,48,1200
C13962,101.682988,610.34,524.34,0,0,40,1500
C10395,1077.606225,343.21,0,1609.900552,8,4,1500
C17650,617.999607,387.7,137.7,684.8408,1,13,1200
C16663,1389.085585,0,0,2773.573526,14,0,2000
C13248,2392.332606,2556.32,989.9,4091.326388,14,54,6500
C11883,396.667584,2559.41,90,0,0,8,4000
C15812,880.259646,831.52,222.15,0,0,20,1200
C11796,1118.086877,128.8,128.8,0,0,2,1200
C14848,1994.694769,248.75,0,1016.518185,1,2,6000
C15077,14.891908,59.8,0,0,0,2,500
C14740,1154.381343,2421.85,1953.2,0,0,69,9000
C15702,177.822533,0,0,212.597424,1,0,3000
C17776,378.320894,315.02,315.02,0,0,20,1500
C18062,1091.973832,0,0,77.349474,1,0,1200
C11486,912.857498,831.03,738.03,0,0,8,5500
C13709,1503.884481,3296.52,307.89,842.262706,2,38,2300
C14559,1537.935236,68,0,0,0,1,3000
C18954,220.943665,1833.34,1833.34,0,0,11,1000
C13100,1134.830372,833.98,0,0,0,11,7500
C14070,330.236089,0,0,930.459784,1,0,6500
C16986,1575.794134,3181.47,1592.69,448.17047,6,55,2100
C16727,2.907271,53,0,0,0,1,1000
C18905,471.274037,49.85,0,458.153085,1,2,500
C14116,3421.570645,0,0,287.27997,1,0,8500
C10576,9149.4096,227.8,0,5583.937965,13,4,9500
C15430,5238.915225,270,0,2706.554295,14,3,6000
C15703,3127.073601,4468.44,35.98,0,0,55,4500
C11030,9.503968,96.62,96.62,0,0,19,4500
C12466,2866.054641,0,0,236.955668,4,0,3000
C15815,4628.109931,912.54,912.54,0,0,21,5000
C12305,931.674532,2417.91,114,3508.775536,9,21,8000
C13615,73.353928,0,0,380.852744,2,0,1200
C17288,38.251194,368.84,368.84,0,0,6,3000
C16254,42.443032,0,0,433.039278,1,0,2400
C12226,10905.05381,431.93,298.43,47137.21176,123,21,19600
C17370,2.930211,285.39,285.39,0,0,9,1500
C15627,1710.971649,2042.5,1042.5,0,0,12,9500
C15919,1139.691004,117,0,0,0,1,1200
C14015,4825.450839,5855.46,0,0,0,26,7000
C15953,1851.622011,200,0,152.692363,1,1,2000
C15494,1478.552756,479.1,168,901.677781,1,11,4500
C15921,3160.087236,0,0,757.003109,1,0,8000
C11787,304.945628,2788.81,0,266.383091,6,22,4000
C11582,778.475416,353.52,195.52,1183.478018,9,10,1500
C11706,1410.753575,588.85,189,1668.104809,23,13,4000
C18400,763.228081,0,0,1948.071903,48,0,1200
C10334,2233.074041,445.2,0,0,0,4,8000
C14374,2891.926512,561.25,0,1991.754101,12,6,7700
C18430,482.028341,106.47,106.47,0,0,9,2500
C15980,4322.806448,220.5,220.5,3767.104707,25,11,11000
C10020,3577.970933,398.64,398.64,0,0,12,4000
C10682,558.989996,4552.44,3318.44,0,0,15,5000
C16166,137.507638,0,0,94.989817,1,0,500
C16977,424.994385,1200,0,0,0,1,1200
C12088,3006.594256,9362.96,4264.21,0,0,103,7500
C12813,30.530541,360.1,168.1,0,0,6,1500
C18186,991.097892,180,180,0,0,6,1000
C12561,5880.218671,0,0,10590.41113,1,0,11500
C10103,4.708041,79,79,0,0,3,7000
C12770,2857.598022,0,0,5423.546535,3,0,6000
C15464,364.219107,142.52,0,654.345476,6,2,2500
C10205,1973.814964,873,0,0,0,5,8000
C14645,548.252892,208.41,0,1633.935089,6,1,3000
C14738,2270.22733,0,0,159.189426,1,0,2400
C15755,3128.61332,3875.71,1631.39,0,0,98,6500
C19152,30.709172,693.42,693.42,0,0,7,1000
C17068,1256.460026,1313,0,0,0,29,1200
C11134,3676.070324,2255.1,1038.29,106.449005,1,27,3500
C11733,262.723622,2365.07,240,0,0,26,9000
C15092,798.693995,0,0,1865.808018,11,0,3000
C13625,41.301246,655.79,0,0,0,13,6000
C11062,2294.145941,29.29,29.29,137.256946,2,1,2100
C16043,13.230057,112.21,112.21,0,0,5,1500
C12943,409.194212,1213.23,0,1751.419465,8,9,6000
C15186,1190.800122,1864.79,862.57,0,0,51,3000
C10243,2363.489077,2641.98,1255.68,263.884743,1,41,3000
C10386,2045.541408,1067.28,1067.28,0,0,30,2000
C16220,5005.774991,4837.22,1323.77,0,0,50,12500
C15090,63.928065,183.6,183.6,0,0,12,1500
C11392,130.977369,527,112,0,0,6,7500
C18945,812.259343,354.63,74.53,830.160011,8,3,1200
C13669,1330.716005,1043.64,1043.64,0,0,12,1300
C15899,511.825603,362.48,362.48,0,0,10,2000
C12370,986.583117,0,0,1350.155793,1,0,1500
C16570,87.540559,885.13,885.13,0,0,21,6000
C15567,216.716507,0,0,810.792285,3,0,1800
C10271,2224.590946,3183,0,0,0,2,9000
C13375,355.125926,269.75,0,0,0,9,2000
C13128,5500.316126,0,0,4930.998256,6,0,9000
C12558,102.751154,1063.69,1063.69,0,0,29,7000
C14000,680.079404,636.41,530.4,2525.736564,10,19,12000
C13307,1054.466688,142.8,0,0,0,2,1200
C19122,2150.940844,1105.74,1105.74,2220.336732,7,13,2500
C14220,1435.975897,418.56,0,0,0,4,2150
C10789,23.276656,796.56,796.56,0,0,13,4000
C18068,26.531265,373.39,373.39,0,0,7,3000
C16711,631.959341,0,0,19.388248,1,0,700
C16748,32.916536,300.62,300.62,0,0,12,1200
C16452,1305.883623,0,0,1015.334397,1,0,8000
C14287,134.613205,0,0,447.255199,1,0,2500
C13343,25.095678,177.76,177.76,0,0,8,1500
C16910,736.736738,1171.5,167.96,0,0,26,4000
C18716,34.750769,2562,2562,0,0,12,2300
C11370,1200.435451,886.56,225,0,0,15,1200
C13830,1632.580058,0,0,115.413927,3,0,1800
C10176,840.804076,0,0,3671.777443,5,0,4000
C18364,43.405954,520.65,408.65,0,0,10,2000
C16944,1817.150299,596.5,596.5,1736.759805,11,10,3000
C14289,16.657046,186.32,121.32,0,0,4,600
C17450,4530.205197,1750.66,1107.48,26268.69989,10,36,8500
C12735,745.157677,485.17,0,0,0,2,3000
C17226,1369.512062,589.94,589.94,0,0,23,5000
C11305,2596.455261,0,0,1689.711942,1,0,3000
C18588,3857.56223,0,0,2127.213754,26,0,5000
C10033,6732.823064,324.95,0,1189.533753,3,3,10500
C16476,162.293507,0,0,428.185827,5,0,500
C11189,1818.441161,904.3,904.3,0,0,54,1700
C11078,68.690623,734.37,675.37,0,0,30,10500
C18254,676.771001,356.8,0,1213.388649,13,15,1200
C13133,117.205812,215,0,0,0,1,1750
C16231,236.264094,1949.62,518.7,0,0,38,1800
C15569,91.861479,939.51,939.51,0,0,11,3000
C13593,4315.123399,3927.58,1689.24,0,0,21,11000
C16007,350.306089,0,0,1438.822819,7,0,1500
C11709,8953.743398,254.85,170.88,0,0,5,12000
C11749,293.803208,380.59,48.07,118.972449,1,3,10000
C18476,24.992059,292.5,0,0,0,11,2000
C14992,1202.204204,435.04,0,0,0,11,1200
C10197,38.615644,280.4,0,0,0,3,6150
C15663,67.72881,869.48,183.69,0,0,20,3000
C18678,9.996627,87.94,87.94,0,0,5,1000
C14661,300.427627,443.71,443.71,0,0,11,1000
C15973,45.160837,0,0,79.46115,1,0,6500
C13308,449.123098,65,0,354.816958,6,1,2500
C13404,545.767741,102.4,102.39,526.948456,2,13,1500
C17292,2.508768,302.91,0,0,0,12,3000
C10617,1642.024936,2094.38,0,0,0,17,4500
C13772,3743.771094,368.44,239.77,1428.188333,3,11,7000
C10670,1759.969888,5969.33,2214.09,1777.022586,4,92,16500
C13973,80.00717,1548.37,1519.79,0,0,21,9500
C13713,93.672733,674.3,604.8,0,0,26,5400
C13326,935.778608,645.83,0,2607.507856,43,12,6500
C14835,1475.396878,5055.77,2123.86,0,0,69,1900
C15123,3343.299372,790.8,790.8,5001.962631,4,17,5000
C15872,2456.499396,4791.33,2723.53,0,0,78,6500
C16769,42.286207,480.37,480.37,0,0,41,6000
C10011,1293.124939,920.12,920.12,0,0,12,1200
C10645,1088.031913,9734.63,5978.62,0,0,194,8500
C11934,538.995587,0,0,2156.577132,2,0,1200
C12451,2544.036536,0,0,107.710567,1,0,7000
C11944,210.993146,90.51,0,0,0,1,6500
C18658,2.850024,114.56,114.56,0,0,3,1000
C18829,655.786755,387.68,387.68,0,0,1,2000
C13691,1.869435,0.24,0,0,0,0,3000
C11400,20.933565,295.32,295.32,0,0,8,3000
C17976,352.58799,281.81,98,0,0,15,1600
C14264,3447.674222,205,0,4548.057776,7,1,10500
C13933,2673.770349,435,0,3667.84151,2,3,5000
C18146,1020.535366,205.54,0,0,0,3,1200
C14713,3212.963003,0,0,185.532602,2,0,3500
C11918,3478.070041,2465.92,789.81,90.363202,1,41,12000
C17856,1571.218695,375.24,0,1093.862642,9,8,1700
C18838,19.303362,150.24,150.24,0,0,8,1500
C11517,1060.736973,0,0,2495.298926,7,0,3000
C18322,32.369733,326.45,250.45,0,0,12,1000
C10602,1866.608592,1494.5,0,0,0,8,8500
C13130,688.993252,803.57,803.57,0,0,53,2000
C16840,23.083392,447.96,447.96,0,0,18,1500
C17753,3025.373271,202.72,202.72,988.076605,1,9,4500
C17264,125.039376,1118.91,0,19.094068,1,15,1800
C16168,222.478614,2360.7,0,0,0,44,5000
C11323,43.124063,491.43,0,0,0,7,2100
C10014,921.693369,2137.93,1717.97,0,0,26,7500
C10980,51.161976,736.72,0,0,0,5,4500
C11965,2297.324675,4474.43,930.12,1508.526487,3,44,5500
C12964,97.453056,334.73,0,19.551802,1,1,2500
C16571,14.179041,119.58,119.58,0,0,6,5000
C18039,1095.984736,374.53,0,1391.256381,14,8,1200
C14353,472.61828,4626.36,1652.36,305.257038,2,67,3800
C18599,306.462394,1834.5,0,59.348405,2,21,700
C17628,543.815182,0,0,45.475577,1,0,3000
C11282,1548.224072,696.63,0,0,0,2,1800
C12487,14.871714,62.7,0,0,0,1,3000
C16092,1700.753811,0,0,624.480873,9,0,2000
C18512,71.98176,459.49,459.49,0,0,13,1000
C10517,12478.17286,174,0,3269.418821,21,3,14000
C19110,2171.222526,791.18,0,2056.60248,6,8,3000
C16834,98.252565,1021.24,1021.24,0,0,88,3000
C10733,2572.508325,64,0,248.690762,2,1,2800
C18935,873.680279,2397.05,1324.59,1657.160669,12,23,2500
C17166,187.516986,0,0,823.171535,5,0,4500
