Monetary,Recency,Frequency,tenure,ID#
138,28,3,40,2
240,14,1,14,30
97,6,2,10,59
348,2,7,38,89
239,20,2,28,96
253,10,4,20,120
118,16,1,16,128
326,14,2,22,131
249,12,3,20,139
294,10,12,58,177
301,2,2,4,181
219,32,2,40,188
227,30,2,34,231
328,26,12,62,245
54,14,3,22,289
196,2,12,26,320
88,10,2,16,335
109,8,4,18,342
257,14,12,76,355
207,4,7,22,381
265,16,1,16,396
69,14,2,18,408
310,12,1,12,478
284,16,2,20,486
70,14,2,18,496
169,14,11,40,530
174,16,9,56,536
41,8,1,8,546
431,28,12,68,566
104,8,2,16,583
237,30,3,44,601
232,8,1,8,627
134,12,6,34,684
151,14,6,32,686
62,8,1,8,691
444,36,12,62,726
239,8,7,30,790
273,12,3,24,804
278,12,2,18,816
169,6,2,8,825
389,12,10,62,857
365,2,6,26,870
347,16,8,42,881
375,8,8,52,887
123,16,1,16,897
107,2,2,8,920
61,14,2,22,933
177,10,2,18,956
452,10,11,42,960
97,4,2,6,1033
280,10,7,32,1039
231,4,1,4,1071
230,16,12,84,1072
293,2,2,8,1074
297,14,10,72,1094
143,4,6,38,1106
215,16,6,34,1110
209,4,1,4,1125
353,8,9,38,1134
31,8,2,12,1308
232,12,1,12,1326
392,4,10,38,1398
207,16,1,16,1412
176,8,11,64,1432
244,10,2,14,1454
248,8,2,10,1461
186,6,1,6,1511
260,22,1,22,1523
238,10,7,24,1566
249,12,1,12,1569
219,10,7,34,1581
88,14,2,22,1584
286,14,1,14,1586
396,16,12,62,1607
196,12,2,16,1609
126,6,2,8,1612
217,16,1,16,1681
246,8,2,16,1688
230,22,2,26,1744
311,24,1,24,1809
163,18,4,28,1827
165,14,1,14,1866
304,6,1,6,1876
173,16,8,56,1877
388,14,10,54,1901
137,16,2,18,1972
139,4,2,12,2009
307,36,2,44,2012
248,14,1,14,2015
221,14,1,14,2033
247,12,2,18,2037
216,14,1,14,2078
257,26,1,26,2095
240,16,8,52,2120
328,20,8,58,2152
162,8,5,32,2190
192,34,2,40,2209
238,30,5,44,2259
307,16,10,40,2303
286,18,8,40,2307
301,10,11,62,2314
35,18,1,18,2329
144,16,1,16,2335
193,10,2,18,2343
307,2,5,20,2347
35,16,2,20,2366
351,14,10,46,2379
319,12,2,16,2412
87,6,2,14,2419
81,2,1,2,2422
405,6,12,70,2441
91,16,5,42,2454
184,12,1,12,2459
124,6,2,10,2476
170,2,3,18,2500
99,14,2,16,2515
275,16,6,38,2518
69,12,1,12,2531
162,10,2,18,2552
229,16,1,16,2559
204,32,4,44,2574
161,10,1,10,2576
279,10,2,16,2582
189,18,3,32,2608
214,6,1,6,2685
165,12,8,32,2708
219,12,6,34,2721
222,34,9,54,2729
200,16,2,18,2732
121,12,1,12,2778
281,30,1,30,2794
114,2,7,18,2832
58,10,2,16,2833
134,6,2,14,2886
124,14,1,14,2888
218,4,2,8,2923
237,12,1,12,2955
228,26,2,28,2971
238,16,4,32,3003
265,4,2,8,3020
118,14,2,22,3111
267,16,1,16,3128
200,16,2,18,3132
272,4,12,30,3182
154,6,2,14,3198
287,30,1,30,3213
216,14,9,66,3216
69,12,2,18,3247
43,16,1,16,3273
55,14,1,14,3300
237,16,1,16,3379
195,6,1,6,3385
320,10,2,14,3410
31,4,1,4,3425
94,10,6,30,3429
94,8,2,12,3432
181,12,4,28,3443
265,16,2,24,3467
222,28,9,60,3558
205,14,12,56,3611
371,10,10,52,3637
125,18,1,18,3638
216,16,2,24,3639
272,12,1,12,3764
325,4,2,10,3768
191,4,2,10,3869
216,10,1,10,3879
349,12,6,40,3923
214,10,2,12,3997
161,2,5,18,4019
106,14,1,14,4032
88,30,2,38,4056
375,22,9,48,4057
192,12,1,12,4065
261,4,10,58,4095
334,22,4,36,4116
81,22,2,26,4142
126,10,2,16,4179
178,8,1,8,4195
177,34,2,38,4232
86,6,2,10,4243
376,10,10,54,4245
111,8,1,8,4247
266,6,2,14,4276
196,14,2,22,4279
376,12,9,34,4291
222,14,9,50,4342
248,28,2,30,4355
200,10,1,10,4372
285,2,1,2,4389
303,12,2,16,4390
132,18,2,20,4412
323,12,2,20,4438
133,16,5,40,4456
265,8,2,10,4480
145,4,1,4,4544
62,30,1,30,4626
78,10,5,24,4684
188,8,7,34,4685
40,12,2,18,4742
171,6,10,44,4757
310,12,8,46,4887
114,10,1,10,4893
102,28,2,30,4905
259,8,5,20,4927
302,4,8,32,4934
211,28,5,48,4938
417,14,11,70,4958
155,16,4,26,4977
112,18,2,24,5002
158,8,1,8,5003
35,14,1,14,5084
106,16,1,16,5091
58,4,1,4,5108
46,22,2,28,5138
238,14,7,28,5143
315,14,5,34,5154
216,22,1,22,5175
106,4,1,4,5190
66,2,1,2,5227
233,8,12,36,5232
81,30,2,32,5274
56,14,1,14,5284
192,30,2,36,5289
147,14,7,44,5307
228,28,8,66,5353
159,16,2,20,5354
143,14,1,14,5367
342,26,10,82,5467
291,36,1,36,5478
214,30,1,30,5499
284,34,4,44,5558
23,18,1,18,5563
142,32,1,32,5627
199,8,1,8,5653
233,10,2,14,5656
149,12,2,18,5661
132,20,3,36,5673
231,2,2,8,5679
113,14,2,20,5688
214,6,2,10,5699
43,10,2,14,5707
367,12,11,70,5733
206,20,1,20,5762
171,12,2,14,5770
291,12,11,34,5775
315,2,5,28,5882
167,14,1,14,5910
71,10,1,10,5917
286,12,2,14,5968
184,16,1,16,5980
174,8,1,8,6007
125,16,6,46,6036
31,10,2,12,6072
239,16,1,16,6075
283,10,2,16,6128
284,34,2,38,6133
171,8,2,16,6143
149,10,1,10,6211
80,2,2,10,6251
140,10,1,10,6284
67,24,2,32,6300
91,34,1,34,6313
185,10,1,10,6328
303,10,2,14,6338
334,8,3,20,6360
282,2,10,38,6401
300,2,2,6,6425
206,12,2,14,6484
198,10,3,16,6490
188,10,10,58,6494
336,8,10,66,6516
152,6,7,36,6543
264,12,4,26,6615
88,10,3,26,6617
73,6,2,8,6649
274,26,1,26,6667
23,2,1,2,6687
92,6,1,6,6717
75,32,1,32,6745
187,4,2,12,6762
86,8,1,8,6763
81,4,1,4,6777
202,12,1,12,6780
424,24,9,58,6792
272,12,2,14,6799
82,8,1,8,6846
217,12,2,18,6862
76,32,2,40,6870
274,14,2,16,6886
191,6,2,8,6892
164,14,5,34,6899
69,10,4,22,6904
191,8,9,58,6944
207,26,6,58,7002
205,16,5,38,7049
82,10,4,22,7080
181,26,12,62,7100
233,16,1,16,7124
155,34,5,46,7168
130,16,1,16,7180
401,16,8,54,7205
342,16,8,56,7252
138,14,1,14,7269
381,10,9,44,7291
170,8,1,8,7296
242,4,1,4,7311
274,20,6,38,7330
157,6,2,14,7386
177,10,9,30,7450
242,34,9,66,7477
70,2,2,10,7478
224,18,2,22,7528
223,2,2,10,7591
212,12,12,42,7609
124,14,1,14,7669
133,18,2,22,7701
55,12,1,12,7736
325,14,2,20,7773
213,10,2,18,7783
171,26,2,32,7820
228,4,2,10,7860
302,6,2,8,7863
62,14,1,14,7872
303,12,2,16,7916
198,16,1,16,7924
159,14,2,20,7938
414,10,9,40,7954
235,16,2,20,7984
321,2,2,8,8052
230,32,2,38,8062
141,4,6,36,8075
293,2,2,4,8104
300,6,1,6,8114
99,10,5,38,8134
393,24,8,68,8182
164,2,6,20,8194
272,14,2,16,8214
111,8,2,14,8224
256,14,12,40,8233
275,20,2,24,8257
335,4,4,16,8258
319,12,11,58,8277
36,18,1,18,8316
218,16,6,42,8322
147,12,2,14,8342
48,4,2,8,8411
317,14,10,42,8441
269,16,1,16,8455
244,6,10,40,8517
442,14,12,40,8535
304,16,2,24,8563
35,32,1,32,8604
401,16,8,42,8614
131,2,4,12,8630
311,20,1,20,8660
57,12,2,14,8703
168,16,2,20,8717
78,12,2,14,8739
22,8,1,8,8761
281,14,11,58,8783
174,34,2,42,8793
391,36,8,68,8836
106,8,2,16,8855
301,34,2,40,8887
80,6,2,10,8932
348,10,8,32,8936
152,6,1,6,8993
172,32,2,38,8996
58,14,1,14,9018
98,2,2,6,9054
282,4,2,10,9129
88,8,5,34,9173
212,14,9,36,9179
182,32,2,38,9210
219,8,1,8,9223
157,12,3,28,9224
212,12,1,12,9236
256,16,7,40,9310
301,4,3,18,9358
209,10,12,50,9364
206,10,3,16,9376
97,14,2,16,9407
74,22,2,26,9426
128,12,2,18,9429
117,10,1,10,9433
62,24,2,28,9437
262,4,1,4,9439
230,4,1,4,9460
419,8,11,52,9509
202,10,1,10,9521
265,8,1,8,9585
304,32,1,32,9601
96,16,1,16,9619
84,16,4,36,9717
19,14,1,14,9718
155,6,1,6,9741
70,30,2,38,9744
111,2,1,2,9819
291,6,2,10,9822
165,10,1,10,9826
300,26,8,70,9845
303,20,2,28,9849
71,12,1,12,9853
339,14,9,52,9921
158,20,6,32,9947
176,8,6,30,9986
46,16,2,24,9990
117,8,2,16,10031
259,10,1,10,10046
261,16,1,16,10083
314,10,10,48,10087
120,14,2,22,10127
295,6,2,14,10170
188,18,2,26,10208
127,4,2,12,10219
236,10,3,20,10224
261,14,1,14,10229
327,14,5,24,10360
189,10,1,10,10388
325,4,10,40,10410
96,14,1,14,10460
148,16,1,16,10503
295,10,1,10,10504
70,4,2,8,10522
96,32,2,40,10524
98,10,2,16,10531
260,16,2,20,10573
334,20,5,44,10588
68,4,2,10,10606
157,10,7,36,10675
240,32,2,34,10702
26,8,1,8,10789
276,2,2,6,10802
215,6,4,26,10815
175,14,1,14,10847
229,34,1,34,10902
240,34,2,40,10906
372,10,12,44,10910
234,2,1,2,10912
309,18,2,26,11004
224,2,11,52,11063
372,4,9,34,11095
415,28,12,72,11103
106,10,3,28,11137
304,10,2,16,11140
260,18,1,18,11154
258,2,1,2,11182
130,14,2,22,11305
266,12,2,18,11333
168,16,2,20,11341
56,4,1,4,11353
114,2,3,14,11354
195,12,1,12,11356
308,6,2,8,11379
79,10,1,10,11381
409,6,10,48,11409
78,16,1,16,11420
203,14,2,22,11437
194,34,10,72,11471
188,16,1,16,11474
66,10,1,10,11478
386,14,7,44,11480
194,10,5,34,11481
382,10,11,58,11531
64,2,2,6,11555
193,12,11,44,11574
118,8,1,8,11663
63,8,1,8,11732
67,4,1,4,11746
322,24,2,30,11754
24,36,1,36,11757
229,24,4,32,11924
143,10,2,16,11952
108,12,1,12,11969
325,16,3,32,11973
92,8,3,16,11991
300,12,10,52,11992
169,34,5,46,11993
208,18,1,18,12003
180,12,3,22,12109
275,2,2,4,12150
220,26,5,44,12154
138,8,2,14,12199
318,22,2,30,12201
111,26,6,42,12256
140,8,1,8,12306
59,4,2,10,12307
210,28,1,28,12350
243,2,8,48,12404
267,22,1,22,12464
295,10,5,34,12505
258,24,6,44,12532
370,32,11,64,12587
158,2,2,4,12627
171,12,1,12,12629
264,16,2,18,12650
359,10,12,76,12656
17,20,1,20,12661
83,12,1,12,12697
205,4,4,26,12700
77,10,1,10,12722
263,20,1,20,12751
163,34,10,70,12760
225,8,1,8,12861
218,26,1,26,12882
179,14,1,14,12905
93,12,2,14,12911
77,26,5,50,12993
157,12,2,18,13010
121,14,8,42,13036
223,10,9,42,13107
274,2,2,6,13116
368,8,9,36,13139
149,12,1,12,13209
174,10,4,24,13268
170,8,2,10,13300
105,12,1,12,13310
84,10,1,10,13377
152,12,2,14,13387
279,16,2,22,13389
455,16,11,40,13410
174,8,2,12,13415
119,16,1,16,13439
398,10,12,68,13461
122,10,2,14,13463
144,14,9,52,13464
300,16,2,22,13488
101,2,4,18,13556
226,6,1,6,13604
371,8,9,40,13629
214,12,11,40,13634
287,4,3,16,13654
137,8,7,34,13679
301,6,1,6,13715
140,10,9,62,13720
82,30,1,30,13765
228,6,1,6,13809
286,2,2,4,13812
114,6,1,6,13864
302,30,7,66,13882
180,36,2,42,13908
226,16,12,76,13958
128,16,1,16,13982
181,14,2,20,13984
67,4,2,8,13994
408,12,10,66,14002
70,10,2,14,14006
201,10,1,10,14009
260,20,2,26,14015
69,10,1,10,14027
40,14,2,16,14056
170,4,1,4,14071
260,6,5,32,14080
153,12,1,12,14104
116,14,2,20,14108
188,8,1,8,14130
134,24,2,28,14140
115,30,5,50,14143
258,2,2,8,14158
273,12,2,16,14186
316,8,2,16,14192
276,12,5,26,14208
224,10,1,10,14215
226,16,7,56,14223
204,22,1,22,14251
204,12,12,80,14308
208,22,5,40,14314
344,6,11,38,14335
41,8,2,10,14359
232,28,7,42,14382
219,16,8,52,14385
144,10,2,16,14421
119,12,6,30,14423
428,16,10,76,14464
373,14,8,44,14482
210,22,2,28,14515
81,14,1,14,14559
354,24,5,34,14587
253,4,1,4,14605
330,14,10,64,14617
20,16,1,16,14622
153,6,4,26,14643
349,8,7,38,14646
62,36,2,38,14649
347,2,11,38,14675
296,4,1,4,14683
102,20,5,34,14721
119,16,2,22,14778
221,10,7,24,14789
231,16,1,16,14813
195,20,2,24,14819
310,16,1,16,14826
170,4,1,4,14856
93,18,2,26,14879
246,8,1,8,14891
193,14,1,14,14892
379,8,8,54,14908
214,12,1,12,14915
281,2,10,38,14920
275,2,5,22,14930
160,14,2,16,14931
175,14,1,14,14976
192,14,5,24,14980
51,12,2,20,14991
303,26,1,26,15040
82,12,2,16,15050
260,10,1,10,15056
175,16,2,20,15068
203,20,2,24,15084
175,14,2,20,15101
180,16,8,52,15102
263,12,11,68,15152
213,12,2,14,15187
36,2,1,2,15194
365,6,11,46,15201
292,16,1,16,15253
79,20,2,24,15467
218,12,2,20,15525
287,10,11,74,15567
71,6,1,6,15615
189,22,2,28,15639
114,2,1,2,15669
67,16,1,16,15690
225,4,2,8,15703
193,10,10,40,15740
237,12,2,16,15771
62,10,2,12,15799
217,6,6,28,15814
224,12,8,48,15835
89,24,1,24,15879
268,2,1,2,15919
289,6,2,8,15927
208,36,1,36,15929
398,12,8,50,15988
256,20,1,20,16064
176,10,2,12,16099
120,22,4,46,16105
207,2,5,18,16106
253,10,8,54,16115
153,12,1,12,16119
233,12,10,52,16157
367,26,12,86,16224
266,16,12,84,16235
155,28,2,36,16302
221,28,5,42,16324
288,10,2,12,16333
121,10,1,10,16363
313,10,2,18,16364
129,4,1,4,16369
124,12,2,16,16395
266,10,8,50,16442
236,4,1,4,16455
51,18,2,26,16490
149,16,1,16,16539
213,34,7,56,16581
228,8,2,16,16597
102,12,1,12,16634
304,12,1,12,16636
332,22,6,50,16669
206,6,11,70,16682
148,2,2,4,16711
188,16,8,48,16719
389,24,9,52,16720
315,16,2,18,16742
173,10,8,36,16818
205,16,5,30,16823
269,18,2,20,16853
161,6,3,18,16859
462,22,11,86,16861
291,16,2,20,16890
79,14,5,26,16894
324,12,10,48,16897
259,8,12,36,16916
284,16,1,16,16934
326,28,2,30,16961
245,36,6,60,16981
177,12,1,12,17086
462,2,11,44,17099
158,8,2,12,17131
254,12,10,34,17140
107,4,2,10,17190
253,14,1,14,17213
130,14,7,38,17229
334,8,4,28,17232
145,24,2,30,17238
81,28,1,28,17292
381,2,9,48,17306
349,8,11,64,17316
367,4,10,40,17321
170,32,3,46,17330
277,10,1,10,17339
386,10,9,44,17347
208,12,2,16,17348
128,34,7,74,17381
348,14,9,48,17424
31,2,2,6,17447
287,24,2,26,17462
208,14,8,60,17479
145,14,2,18,17481
164,14,1,14,17509
257,4,5,22,17563
25,34,1,34,17564
31,4,2,8,17589
383,2,8,18,17597
90,2,2,6,17615
240,22,1,22,17625
309,12,2,20,17667
204,26,2,28,17674
211,28,8,68,17692
233,10,10,56,17693
294,12,12,64,17711
237,6,5,30,17723
308,4,2,6,17741
235,14,4,22,17747
285,6,11,72,17793
279,12,11,54,17803
258,4,2,8,17809
223,6,8,32,17857
157,36,2,38,17861
254,10,9,54,17877
136,10,2,16,17886
92,10,3,24,17902
46,8,1,8,17938
39,10,1,10,17975
167,12,2,18,17998
242,12,1,12,18017
323,6,7,32,18050
292,8,2,10,18054
130,26,8,42,18070
108,16,4,28,18072
274,20,9,44,18084
326,16,2,24,18145
93,10,1,10,18176
102,2,6,16,18225
282,4,5,30,18227
304,8,4,28,18279
240,10,11,74,18313
154,10,1,10,18338
215,28,1,28,18370
151,6,1,6,18394
187,6,1,6,18407
223,28,9,70,18422
333,32,9,76,18441
344,6,3,18,18462
157,16,1,16,18464
388,16,8,52,18501
312,14,1,14,18531
87,22,2,26,18536
284,16,2,18,18553
81,30,4,46,18607
106,2,2,6,18667
283,4,2,8,18689
76,2,1,2,18690
313,8,12,56,18706
341,6,9,50,18725
248,14,11,60,18765
266,12,5,22,18782
89,14,1,14,18805
379,24,8,52,18826
337,30,7,52,18906
217,2,2,8,18924
242,10,2,14,18927
43,12,1,12,18930
19,30,1,30,19012
134,2,2,6,19028
177,2,5,18,19035
294,12,5,34,19045
191,8,2,12,19053
200,12,12,36,19064
244,20,1,20,19066
25,4,1,4,19084
294,12,1,12,19121
333,12,12,82,19168
235,14,6,28,19196
48,4,2,12,19200
157,16,10,36,19254
354,16,12,74,19295
255,28,1,28,19299
280,16,1,16,19376
62,2,1,2,19445
226,12,4,22,19448
361,6,8,40,19486
199,14,1,14,19492
354,14,9,34,19497
206,22,1,22,19522
166,2,2,8,19545
422,34,11,66,19546
88,4,4,26,19550
207,12,9,58,19589
336,24,4,40,19610
354,16,12,46,19625
241,20,4,28,19641
378,2,10,56,19716
267,14,2,16,19719
144,10,1,10,19720
208,18,1,18,19765
270,10,2,14,19769
81,8,1,8,19776
255,22,2,30,19778
295,6,10,28,19797
112,20,2,28,19838
90,26,1,26,19874
258,10,2,18,19913
357,10,10,56,19922
340,16,4,24,19926
224,12,2,18,19928
37,20,2,26,19935
398,34,11,82,19982
416,10,9,52,20025
29,4,1,4,20035
279,8,1,8,20037
202,8,12,78,20064
393,32,8,56,20070
111,16,2,22,20076
39,12,2,20,20113
351,16,8,62,20114
359,4,7,42,20130
278,4,8,32,20166
298,10,4,28,20172
213,22,1,22,20175
101,16,2,24,20185
127,10,2,18,20196
185,10,9,48,20199
203,2,5,20,20201
278,12,1,12,20204
319,12,5,34,20205
108,10,4,30,20220
217,4,12,66,20229
434,10,9,58,20252
196,14,12,58,20271
41,14,1,14,20323
188,2,4,20,20332
196,2,4,10,20333
61,6,2,14,20337
190,2,8,32,20355
199,10,11,34,20366
207,14,2,18,20380
256,10,7,50,20435
56,12,2,16,20461
226,4,1,4,20478
88,4,2,12,20503
98,16,2,20,20510
328,8,2,10,20513
256,14,2,20,20560
368,14,12,74,20614
235,10,1,10,20626
291,12,12,62,20639
211,6,2,8,20643
323,4,2,6,20678
15,8,1,8,20727
200,4,9,28,20729
33,6,1,6,20749
126,18,2,20,20754
459,14,11,76,20768
316,4,7,38,20855
287,4,11,62,20929
299,8,10,44,20949
158,12,2,18,20957
268,14,12,80,20963
166,14,10,50,20979
167,28,1,28,21009
207,18,11,54,21014
72,12,2,18,21054
221,14,9,62,21069
150,14,9,66,21115
118,10,1,10,21137
222,16,1,16,21140
28,10,1,10,21154
68,14,2,20,21178
149,4,1,4,21189
80,10,1,10,21220
227,16,2,24,21266
132,34,1,34,21345
174,8,1,8,21352
266,24,2,26,21361
291,6,1,6,21362
235,16,2,24,21373
128,8,2,10,21407
345,14,11,78,21434
283,10,2,16,21438
306,32,2,38,21444
265,12,3,24,21453
121,14,2,22,21461
62,14,1,14,21474
306,12,12,78,21496
237,16,1,16,21536
178,2,1,2,21547
388,2,8,18,21552
161,12,2,14,21595
275,8,2,10,21651
58,10,1,10,21661
344,14,3,20,21691
210,2,1,2,21726
149,4,2,10,21732
171,16,2,20,21813
313,10,2,18,21838
373,16,5,36,21879
320,20,12,76,21893
52,14,2,18,21917
261,12,3,28,21936
138,12,5,26,21965
225,22,7,64,21977
158,4,2,10,21985
253,8,8,30,21994
256,28,2,34,22007
48,8,1,8,22016
222,14,8,36,22074
279,14,1,14,22137
160,34,2,38,22236
263,24,2,28,22268
162,6,10,64,22281
133,16,2,18,22283
276,12,12,60,22307
200,14,8,46,22325
186,22,2,28,22361
119,14,2,18,22388
295,16,2,18,22394
329,14,5,24,22406
194,20,1,20,22412
195,2,2,6,22439
110,4,7,30,22455
176,12,8,40,22495
62,36,1,36,22515
381,16,10,72,22532
386,34,8,68,22541
145,6,9,56,22547
207,4,2,8,22549
118,14,2,18,22568
32,28,1,28,22576
32,32,2,36,22592
153,16,10,64,22619
49,36,1,36,22638
198,12,12,60,22644
105,26,2,28,22650
270,24,2,28,22653
134,10,2,14,22680
405,16,12,78,22687
300,10,2,14,22691
90,14,1,14,22697
275,20,2,22,22771
40,12,1,12,22839
203,12,1,12,22843
42,18,2,24,22844
183,6,1,6,22853
164,16,1,16,22883
265,16,2,20,22907
84,2,1,2,22916
250,30,2,34,22948
62,10,1,10,22958
341,14,12,64,23008
288,16,1,16,23023
117,10,3,24,23036
206,2,9,34,23079
311,6,10,46,23091
175,22,1,22,23138
264,10,7,44,23259
134,4,6,24,23318
260,14,3,26,23374
157,4,2,8,23395
132,6,2,10,23402
138,10,7,44,23406
254,10,1,10,23451
183,8,5,34,23494
307,12,4,34,23547
150,16,5,36,23584
380,10,6,36,23589
255,8,2,12,23594
443,12,11,66,23611
19,22,1,22,23625
265,8,2,14,23680
335,6,12,74,23715
23,12,1,12,23772
426,32,9,58,23797
99,22,4,32,23808
232,4,6,36,23828
421,16,10,56,23840
251,14,7,50,23861
116,26,7,60,23885
203,12,8,48,23887
125,22,2,28,23922
194,32,2,40,23923
195,6,1,6,23924
196,14,1,14,23932
18,14,1,14,23935
256,14,12,54,23961
221,16,1,16,23968
26,26,1,26,23969
171,14,11,58,23977
412,8,11,68,24048
113,12,3,24,24058
193,2,1,2,24064
184,32,2,38,24066
213,12,2,16,24077
180,22,2,28,24091
304,12,1,12,24109
219,4,2,12,24142
147,8,1,8,24149
131,2,8,38,24176
24,16,1,16,24199
264,16,5,30,24203
242,16,6,42,24213
179,16,10,36,24259
120,10,1,10,24281
303,14,9,42,24284
258,32,2,40,24293
181,4,2,10,24326
221,16,3,30,24393
173,10,1,10,24439
263,4,1,4,24449
292,34,2,36,24468
